md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
aa800e7678743c44bd8513c41246dd3b	15	65	61	66	59	48	63	49
68d8c8edb3f9033dbb0fcd3df8407625	10	43	38	40	40	29	37	37
c06e8bff863c10b8de23fc1699b32ffc	15	47	50	44	47	29	43	31
fca9b45da144c7f6d541a1a5b5c88fea	15	32	42	34	38	24	32	29
140a628bc7231b4a072a4e67e22ef8f8	10	30	35	32	33	19	32	21
f5475958f6e60a795b59bfa00e757a83	15	46	40	50	38	34	38	33
adf93c7594cd29b182268a421a919f26	10	22	19	22	22	20	22	19
64c3ed51434aef3f64792692c5b820b3	15	64	58	63	58	36	55	41
da892372d8a32091c87d57c2fa67d8c6	10	33	31	33	32	23	34	31
5fbd1a6f70a4efc33f7c8bdf4bdf7d07	15	80	79	85	80	73	78	72
5a445fadc98c382e33b43a6fe6a6be8b	10	21	20	25	23	18	19	19
c9adeb935b566e54997a10043858bdbb	15	68	65	67	69	50	71	64
66403c8dd97aff33e8cce99f6a897091	10	31	29	33	34	21	27	22
aad65d38922fba4491f5f9ab17fb5eec	15	56	61	55	56	43	53	45
2f71055ca13a67d9fdafa45e76710b96	10	35	35	31	30	28	30	26
e2882de86a0c63c1a7c4ad1cff81696d	15	56	62	61	57	45	56	52
0fea460aa283cdba32b02bbb390f20d4	10	27	36	28	28	27	28	26
00e2dd1649a3f364f3a3137536df460c	15	47	48	42	40	28	43	30
fca2935ae75aabb7979b9e2e4c11a1d9	10	30	35	30	30	27	30	23
29869ba70661d37776ce585d2abaa7a4	15	47	44	41	37	35	40	31
e778e76557324909a2fbf6ba1d757b9b	10	46	50	46	45	43	41	40
d6e3db75b8602c93cbaf6ac91660abd6	15	41	45	34	37	26	36	28
e4d1ac7332824eb167b04d83b19c7592	10	32	36	34	32	26	33	29
03e73bbd59140ac5a1a6dc7dc158789b	15	42	48	45	37	35	37	46
cc1e1b4de8b25187dcf3cc18f71a536d	10	29	31	26	27	21	30	22
